# z da db
# IGM absorption factors, as in EAZY
1.451e+00 5.654e-02 2.479e-01
1.480e+00 5.892e-02 2.567e-01
1.510e+00 6.163e-02 2.660e-01
1.541e+00 6.390e-02 2.757e-01
1.572e+00 6.653e-02 2.860e-01
1.604e+00 6.951e-02 2.962e-01
1.636e+00 7.212e-02 3.069e-01
1.669e+00 7.511e-02 3.181e-01
1.703e+00 7.847e-02 3.293e-01
1.737e+00 8.221e-02 3.416e-01
1.772e+00 8.565e-02 3.539e-01
1.808e+00 8.949e-02 3.662e-01
1.845e+00 9.309e-02 3.795e-01
1.882e+00 9.711e-02 3.930e-01
1.920e+00 1.016e-01 4.069e-01
1.959e+00 1.058e-01 4.210e-01
1.998e+00 1.105e-01 4.355e-01
2.039e+00 1.157e-01 4.507e-01
2.080e+00 1.208e-01 4.663e-01
2.122e+00 1.263e-01 4.820e-01
2.165e+00 1.317e-01 4.982e-01
2.208e+00 1.377e-01 5.145e-01
2.253e+00 1.442e-01 5.313e-01
2.298e+00 1.507e-01 5.484e-01
2.345e+00 1.577e-01 5.660e-01
2.392e+00 1.647e-01 5.836e-01
2.441e+00 1.723e-01 6.012e-01
2.490e+00 1.800e-01 6.194e-01
2.540e+00 1.883e-01 6.373e-01
2.592e+00 1.972e-01 6.556e-01
2.644e+00 2.059e-01 6.739e-01
2.697e+00 2.155e-01 6.921e-01
2.752e+00 2.254e-01 7.103e-01
2.807e+00 2.355e-01 7.283e-01
2.864e+00 2.463e-01 7.461e-01
2.922e+00 2.574e-01 7.637e-01
2.981e+00 2.691e-01 7.810e-01
3.041e+00 2.812e-01 7.979e-01
3.103e+00 2.936e-01 8.143e-01
3.165e+00 3.067e-01 8.302e-01
3.229e+00 3.202e-01 8.457e-01
3.294e+00 3.344e-01 8.604e-01
3.361e+00 3.490e-01 8.745e-01
3.429e+00 3.643e-01 8.879e-01
3.498e+00 3.798e-01 9.005e-01
3.569e+00 3.959e-01 9.123e-01
3.641e+00 4.127e-01 9.233e-01
3.715e+00 4.300e-01 9.334e-01
3.790e+00 4.476e-01 9.427e-01
3.866e+00 4.657e-01 9.511e-01
3.944e+00 4.842e-01 9.586e-01
4.024e+00 5.032e-01 9.654e-01
4.105e+00 5.226e-01 9.713e-01
4.188e+00 5.423e-01 9.765e-01
4.273e+00 5.624e-01 9.810e-01
4.359e+00 5.827e-01 9.848e-01
4.447e+00 6.032e-01 9.880e-01
4.537e+00 6.239e-01 9.907e-01
4.629e+00 6.447e-01 9.929e-01
4.722e+00 6.655e-01 9.946e-01
4.817e+00 6.862e-01 9.960e-01
4.915e+00 7.068e-01 9.971e-01
5.014e+00 7.273e-01 9.979e-01
5.115e+00 7.474e-01 9.985e-01
5.219e+00 7.672e-01 9.990e-01
5.324e+00 7.865e-01 9.993e-01
5.432e+00 8.052e-01 9.996e-01
5.541e+00 8.233e-01 9.997e-01
5.653e+00 8.407e-01 9.998e-01
5.768e+00 8.574e-01 9.999e-01
5.884e+00 8.731e-01 9.999e-01
6.003e+00 8.880e-01 1.000e+00
6.124e+00 9.018e-01 1.000e+00
6.248e+00 9.147e-01 1.000e+00
6.374e+00 9.265e-01 1.000e+00
6.503e+00 9.373e-01 1.000e+00
6.634e+00 9.470e-01 1.000e+00
6.768e+00 9.557e-01 1.000e+00
6.905e+00 9.634e-01 1.000e+00
7.044e+00 9.701e-01 1.000e+00
7.187e+00 9.759e-01 1.000e+00
7.332e+00 9.808e-01 1.000e+00
7.480e+00 9.849e-01 1.000e+00
7.631e+00 9.884e-01 1.000e+00
7.785e+00 9.911e-01 1.000e+00
7.943e+00 9.934e-01 1.000e+00
8.103e+00 9.951e-01 1.000e+00
8.267e+00 9.965e-01 1.000e+00
8.434e+00 9.975e-01 1.000e+00
8.604e+00 9.983e-01 1.000e+00
8.778e+00 9.989e-01 1.000e+00
8.955e+00 9.992e-01 1.000e+00
9.136e+00 9.995e-01 1.000e+00
9.321e+00 9.997e-01 1.000e+00
9.509e+00 9.998e-01 1.000e+00
9.701e+00 9.999e-01 1.000e+00
9.897e+00 9.999e-01 1.000e+00
